obo.FOODON_00003413,sweet cherry (whole),A drupe fruit of a sweet cherry plant (Prunus avium).
obo.FOODON_00001851,fig food product,NONE
obo.FOODON_03302013,food containing alcohol,NONE
obo.FOODON_03308389,fish food,NONE
obo.FOODON_03303595,chocolate-flavored icing,NONE
obo.FOODON_03317223,lumpfish roe (chilled),NONE
obo.FOODON_03306173,fruit juice (reconstituted),NONE
obo.FOODON_03305013,gluten soya bread,NONE
obo.FOODON_03305330,cognac,NONE
obo.FOODON_00002548,tikka masala sauce,"Tikka Masala (as sold in bottles in the UK) is a roasted and ground combination of common Indian spices, along with fried ginger paste, mixed into a gravy of cream and tomato puree."
obo.FOODON_03308014,groper (raw),NONE
obo.FOODON_03316340,rhubarb (cooked),NONE
obo.NCBITaxon_172659,sole,NONE
obo.NCBITaxon_172659,English sole,NONE
obo.NCBITaxon_172659,"sole, english",NONE
obo.NCBITaxon_172659,"Parophrys vetulus Girard, 1854",NONE
obo.NCBITaxon_172659,Parophrys vetulus,NONE
obo.NCBITaxon_172659,english sole,NONE
obo.NCBITaxon_172659,parophrys vetulus,NONE
obo.NCBITaxon_13575,Indo-Pacific sailfish,NONE
obo.NCBITaxon_13575,"Istiophorus platypterus (Shaw in Shaw and Nodder, 1792)",NONE
obo.NCBITaxon_13575,sailfish,NONE
obo.NCBITaxon_13575,"Istiophorus platypterus (Shaw & Nodder, 1792)",NONE
obo.NCBITaxon_13575,istiophorus platypterus,NONE
obo.NCBITaxon_13575,Istiophorus platypterus,NONE
obo.NCBITaxon_13575,"Istiophorus platypterus (Shaw and Nodder, 1792)",NONE
obo.FOODON_03304515,snail (raw),NONE
obo.FOODON_03303159,macaroon (artificially sweetened),NONE
obo.FOODON_03305678,frosting mix (naturally and artificially sweetened),NONE
obo.FOODON_03304348,"marlin (cured, smoked)",NONE
obo.FOODON_03306178,fruit juice (artificially sweetened),NONE
obo.FOODON_03311498,soybean and cheese whey powder,NONE
obo.FOODON_03310238,armagnac,NONE
obo.FOODON_03317524,"sauce, emulsified with a fat content of 60% or more",NONE
obo.FOODON_03308031,trumpeter (raw),NONE
obo.FOODON_03309267,rock sole (raw),NONE
obo.FOODON_03411785,"Mugil gaimardianus Desmarest in Bory de Saint-Vincent, 1831",NONE
obo.FOODON_03411785,Mugil gaimardianus,NONE
obo.FOODON_03411785,"mullet, redeye",NONE
obo.FOODON_03411785,mugil gaimardianus,NONE
obo.FOODON_03411785,redeye mullet,NONE
obo.FOODON_03308532,sea snail (canned),NONE
obo.FOODON_00003534,sour cherry (whole),A drupe fruit of a sour cherry plant (Prunus cerasus)
obo.FOODON_03304814,mountain water (food product),NONE
obo.FOODON_03311154,chocolate icing aspartame sweetened,NONE
obo.FOODON_03309567,marlin (raw),NONE
obo.FOODON_03307482,fruit juice (sweetened),NONE
obo.FOODON_03310303,castor bean,NONE
obo.FOODON_03310303,castor bean (whole),NONE
obo.FOODON_03311581,grape brandy,NONE
obo.FOODON_03317525,"sauce, emulsified with a fat content less than 60%",NONE
obo.FOODON_03308032,searobin (raw),NONE
obo.FOODON_00003181,"loquat (whole, raw)",NONE
obo.FOODON_03309269,sand sole (raw),NONE
obo.NCBITaxon_426484,"Mugil liza Valenciennes in Cuvier and Valenciennes, 1836",NONE
obo.NCBITaxon_426484,lebranche mullet,NONE
obo.NCBITaxon_426484,"Mugil liza Valenciennes, 1836",NONE
obo.NCBITaxon_426484,mugil brasiliensis,NONE
obo.NCBITaxon_426484,Mugil liza,NONE
obo.NCBITaxon_426484,liza,NONE
obo.NCBITaxon_426484,mullet,NONE
obo.NCBITaxon_426484,mugil liza,NONE
obo.NCBITaxon_426484,liza mullet,NONE
obo.FOODON_03308655,sea snail (raw),NONE
obo.FOODON_03304902,wax chewing gum product,NONE
obo.FOODON_03315057,frozen nondairy frosting,NONE
obo.FOODON_03309108,milkfish (raw),NONE
obo.FOODON_03310982,fruit juice (fortified),NONE
obo.FOODON_00002759,adzuki bean substance,NONE
obo.FOODON_03317461,grape marc spirits,NONE
obo.FOODON_03317099,"soft drink mix, powdered, energy-containing sweetener not added",NONE
obo.FOODON_03308070,menhaden (raw),NONE
obo.FOODON_03311637,apple peel,NONE
obo.FOODON_03309435,roughscale sole (raw),NONE
obo.NCBITaxon_48193,Mugil cephalus,NONE
obo.NCBITaxon_48193,Formosan grey mullet,NONE
obo.NCBITaxon_48193,flathead mullet,NONE
obo.NCBITaxon_48193,striped mullet,NONE
obo.NCBITaxon_48193,flathead grey mullet,NONE
obo.NCBITaxon_48193,mullet,NONE
obo.NCBITaxon_48193,"Mugil cephalus Linnaeus, 1758",NONE
